explained, probably
shorter, supplied
fairer, user-friendly
knackered, orderable
palpable, try
time, widely
dispute, seriously
extraordinary, granted
kane, well-coordinated
combative, crafted
hopeless, valued
onerous, peaceful
everything, unfettered
calm, vice-chair
free, renowned
medium, north-east
bold, efficacy
boy, sale
pissed, trite
note, specialized
drastic, undisputable
cleverer, tiresome
foreseeable, informal
immoral, two-pronged
remote, sick
affordable, colossal
positive, transitional
heinous, pragmatic
created, self-supporting
rehearse, unprejudiced
north, richest
empowered, scanty
delineated, steeper
planned, well-done
inexpensive, thanks
debate, populous
considerably, well-respected
stir-crazy, undetectable
entrenched, valuable
kid, major
concerted, relieved
conflicting, psycho
deliberate, fried
starved, wonderful
exceptionally, insured
hip, overdue
sunny, well-paid
constituted, info
continuous, convincing
checked, required
nice, specialized
breathe, widely
oral, stimulating
briefly, marginal
malicious, personal
bitter, carsick
blank, horseshit
over-optimistic, watchful
modernizing, obnoxious
first-hand, outstanding
regrettably, talkative
busted, two-pronged
gandalf, touching
checked, fuckin
prettier, race
doin, out
built-in, sooner
chubby, frazzled
all-encompassing, mla
19, initial
foolish, often
for, unambiguous
informative, ironic
heavy, intended
unprecedented, yellow
accountable, flicka
pricey, unfettered
critical, so
responsive, secured
counter-productive, dandy
disposal, reaching
garbled, isolated
need, say
firm, truly
accustomed, aggravating
essentially, flourishing
fledged, together
e.g., inconceivable
dying, jeopardized
culpable, unavoidable
hungry, overwrought
merciful, well-developed
heated, reason
lovelier, resilient
broadest, term
north-east, responsibility
hey, sale
culpable, geographic
exhilarating, intentionally
unfortunately, unreal
brightest, supplementary
cuter, strengthened
busier, treasured
all-embracing, outdated
longest, tiny
financed, healthy
de-insured, problematic
intriguing, misguided
empowered, short-lived
demanding, rare
inter-connected, safe
for, worthless
interim, justification
analogous, self-sufficiency
appealing, forthright
breathe, pending
dummy, mid-sized
part, rotten
fair, uptight
rewarding, temporarily
above-board, pro
conceivable, unchangeable
prescribed, statewide
flagrant, vice-chairperson
legitimate, non-exclusive
hurtin, unseen
insane, universal
fascinating, retail
non-self-executing, safest
galore, stoned
recognising, woolly
dead, human
disastrous, expressly
green, wet
flexibly, secured
alright, finally
excluded, hiv-infected
destructive, likely
info, soaked
co-operative, inalienable
scared, scary
fairest, robust
disposal, protected
flagrant, multicultural
self-reliant, thirsty
culpable, well-respected
net, unjustified
primordial, smarter
extremely, nifty
interoperable, reported
crafty, maximum
nigh, young
influential, preferable
organised, subsequent
exempt, neutral
paradoxical, unbearable
lackluster, pluralistic
nearest, tenuous
excitable, mean
crafty, notified
co-financing, moderate
scarcer, superstitious
profane, provided
disagreeable, usually
crummy, touchy
doing, forthwith
bad-looking, nationwide
finer, smaller
obvious, self-executing
him, missingg
basic, wacko
cross-border, lately
moreover, seldom
generally, serene
evey, rooted
beloved, usually
considerable, retrievable
impractical, refreshing
perpendicular, stipulated
north-west, unlocked
freer, momentary
dissimilar, warned
bolder, insupportable
sticky, tolerable
individual, participants
-surprised, met
ephemeral, over-optimistic
