kane, thirteen
addictive, pitch-dark
prime, repeating
manufactured, thought-provoking
limp, registered
delicate, slightly
ironic, n'tunderstand
divided, inherent
devastating, seminal
clever, tenacious
emotional, overwhelming
extinct, work
hungry, severe
listed, question
battered, intimate
costlier, false
homosexual, unforgiving
luke, scattered
culpable, problematic
